Dialogueacts_level1,Dialogueacts_level2,Dialogueacts_level3,Dialogueacts_level4,Dialogueacts_level5,slot0,slot1,slot2,slot3,slot4,slot5
Answer.change,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,I think it can. Google has a very good track record when it comes to their products and services.,,,,
Answer.joking_sarcastic,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,If not Google than who? There are few companies that can compete with Google.,,,,
Answer.continuation,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"I honestly don't like either, I believe they are used by the CIA.",,,,
Answer.joking_sarcastic,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"How could Google Home not catch Alexa, being so ubiquitous?",,,,
Answer.change,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Oh yeah. It's gonna knock Amazon Alexa out of the game and become the number-one player in town in no time.,,,,
Answer.continuation,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"Oh yeah, just like Google Plus caught up with Facebook.",,,,
Answer.change,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,I believe so yes competition is good for a free market.,,,,
Answer.change,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Of course not.  Alexa has an absurd lead.  It's like the titanic racing a 747.,,,,
Answer.continuation,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"No.  Google, the multi-billion dollar technology company, could not possibly catch up to a bookseller.",,,,
Answer.continuation,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"No, I think Amazon Alexa has already claimed that space. They have a huge head start and a popular product. More people are familiar with Amazon Alexa than Google Home.",,,,
Answer.continuation,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,No way! Google Home is going to fail.,,,,
Answer.continuation,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"Uh yeah, Amazon is so inconsequential, how could Alexa possibly keep up with Google Home?",,,,
Answer.elaboration,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"Hm. What do you know about Google Home, anyway?",,,,
Answer.elaboration,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Are you kidding? Google is like the bully on the playground about to kick the big jocks but!,,,,
Answer.elaboration,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Google is to Amazon as the turtle is the the hare.  Slow and steady.,,,,
Answer.elaboration,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"Possibly, why don't you tell me your opinion on the topic?",,,,
Answer.joking_sarcastic,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Is there anything that Google can't do?,,,,
Answer.change,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,I sure do! It'll catch up and exceed it!,,,,
Answer.elaboration,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"Google's like an octopus; It's reaching out for everything, isn't it?",,,,
Answer.change,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Google Home will obliterate Alexa! Amazon will go out of business.,,,,
Answer.joking_sarcastic,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,What can't Google do if it wants to?,,,,
Answer.joking_sarcastic,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,What isn't Google doing?,,,,
Answer.change,,,,,Eyebrows are big right now. How does that kind of thing happen?,I have huge eyebrows! They're like half of my face!,,,,
Answer.change,,,,,Eyebrows are big right now. How does that kind of thing happen?,People are looking to style anything they can on their faces in order to stand out.,,,,
Answer.elaboration,,,,,Eyebrows are big right now. How does that kind of thing happen?,What would you do with your eyebrows if you could do anything?,,,,
Answer.elaboration,,,,,Eyebrows are big right now. How does that kind of thing happen?,Styling your eyebrows is like wearing designer underwear. Nobody is going to notice how good it looks.,,,,
Answer.continuation,,,,,Eyebrows are big right now. How does that kind of thing happen?,I don't like it. Eyebrows are weird.,,,,
Answer.continuation,,,,,Eyebrows are big right now. How does that kind of thing happen?,I don't like eyebrows.  They need to be shaped often and that takes too much time.,,,,
Answer.elaboration,,,,,Eyebrows are big right now. How does that kind of thing happen?,"That's great!  I love taking care of my eyebrown, trimming them and making them look very pretty.",,,,
Answer.continuation,,,,,Eyebrows are big right now. How does that kind of thing happen?,"It happens by not shaving, I think.",,,,
Answer.change,,,,,Eyebrows are big right now. How does that kind of thing happen?,Eyebrows are always big aren't they? They are part of the body.,,,,
Answer.change,,,,,Eyebrows are big right now. How does that kind of thing happen?,It happens because you let them go for years.,,,,
Answer.joking_sarcastic,,,,,Eyebrows are big right now. How does that kind of thing happen?,How couldn't it have happened?,,,,
Answer.joking_sarcastic,,,,,Eyebrows are big right now. How does that kind of thing happen?,"If we lost our eyebrown, we wouldn't be happy about that.",,,,
Answer.joking_sarcastic,,,,,Eyebrows are big right now. How does that kind of thing happen?,I wonder why people focus on them?,,,,
Answer.continuation,,,,,Eyebrows are big right now. How does that kind of thing happen?,How big are they? Maybe you put miracle grow on them.,,,,
Answer.continuation,,,,,Eyebrows are big right now. How does that kind of thing happen?,It's silly to get so hung up on them.,,,,
Answer.joking_sarcastic,,,,,Eyebrows are big right now. How does that kind of thing happen?,Who couldn't use some good thick brows?,,,,
Answer.joking_sarcastic,,,,,Eyebrows are big right now. How does that kind of thing happen?,Who doesn't want to add one more thing to your list of things you do in the morning?,,,,
Answer.change,,,,,Eyebrows are big right now. How does that kind of thing happen?,"Everything changes in life; things will stay the same for a while, then all of a sudden, a new style, which is good.",,,,
Answer.elaboration,,,,,Eyebrows are big right now. How does that kind of thing happen?,"Eyebrows are like mustaches, except on your forehead.",,,,
Answer.elaboration,,,,,Eyebrows are big right now. How does that kind of thing happen?,Yeah. Do you think you'll do anything with yours?,,,,
Answer.change,,,,,Eyebrows are big right now. How does that kind of thing happen?,Because eyebrows are cute!,,,,
Answer.joking_sarcastic,,,,,Eyebrows are big right now. How does that kind of thing happen?,Your eye brows are big. How big are they?,,,,
Answer.elaboration,,,,,Eyebrows are big right now. How does that kind of thing happen?,Your eyebrows are like little animals attached to your face.,,,,
Answer.continuation,,,,,Eyebrows are big right now. How does that kind of thing happen?,"Yeah, because there's so much room to make your eyebrows appear different than everyone else's. It's a strip of hair.",,,,
Answer.joking_sarcastic,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Since when do you watch sci fi?,,,,
Answer.elaboration,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Social progress in Hollywood is a pendulum, for every few steps forward we take one back",,,,
Answer.joking_sarcastic,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Does it really happen that much? I don't notice it at all.,,,,
Answer.elaboration,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Writing is a beast, and sometimes the beast slays you.",,,,
Answer.continuation,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"I've never paid attention really, I don't like science fiction.",,,,
Answer.continuation,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Yeah I think it's so cliche. I mean are they trying to tell us all women scientists are clumsy,,,,
Answer.continuation,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Oh yeah, because women are complete klutzes who can't do anything right and can't handle real jobs.",,,,
Answer.joking_sarcastic,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Aren't women usually portrayed that way in everything? It seems like they're all just bimbos.,,,,
Answer.joking_sarcastic,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Ha. I'm so clumsy myself. I think I would be a great science woman in the big screen.,,,,
Answer.change,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Oh my gosh, women are portrayed in such a sexist and unjust way in movies! I'm going to go and kick some people's doors down in if this doesn't stop!",,,,
Answer.continuation,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Yeah, someone who can barely function without constantly dropping and breaking things is so cute and relatable.",,,,
Answer.elaboration,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Yeah, women in the movies are like... well, men.",,,,
Answer.elaboration,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Yes I have. To which movies are you referring to.,,,,
Answer.change,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Yes I've noticed that! But be glad there are women scientists at all!,,,,
Answer.change,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,They can't hold anything. It's like their hands are coated in grease.,,,,
Answer.change,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Yes! It drives me absolutely nuts how hollywood can't even let a female scientist be competent.,,,,
Answer.continuation,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,I think you mean 'lady scientist',,,,
Answer.elaboration,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Clumsy? Now that you mention it yeah! What's the movie with the space women doing math?,,,,
Answer.change,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,I agree what is that on about? Are they trying to portray women as clumsy?,,,,
Answer.joking_sarcastic,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Why do they keep writing women like that?,,,,
Answer.change,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,I have noticed that. They are great with picking the right characters to do so,,,,
Answer.continuation,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Right, and have you noticed that men always die first in horror movies?",,,,
Answer.joking_sarcastic,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Who wouldn't want to smash the patriarchy?,,,,
Answer.elaboration,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Please do go on with this topic, I'm super interested on your views on modern feminism",,,,
Answer.change,,,,,Have you noticed that a lot of men dye their hair?,It is so tacky!,,,,
Answer.change,,,,,Have you noticed that a lot of men dye their hair?,It does make some look younger.,,,,
Answer.change,,,,,Have you noticed that a lot of men dye their hair?,There are so many great options for men's hair dye these days.,,,,
Answer.elaboration,,,,,Have you noticed that a lot of men dye their hair?,Hair dye is like like lying about your age.,,,,
Answer.joking_sarcastic,,,,,Have you noticed that a lot of men dye their hair?,I mean does it really matter if that half inch halo around your head is salt n pepper or just salt?,,,,
Answer.elaboration,,,,,Have you noticed that a lot of men dye their hair?,A man getting his hair dyed is like a ferret getting a bath. Necessary once in a whole.,,,,
Answer.continuation,,,,,Have you noticed that a lot of men dye their hair?,I prefer a natural look over fake looking dyed hair for men.,,,,
Answer.joking_sarcastic,,,,,Have you noticed that a lot of men dye their hair?,Is that a skunk atop your head?,,,,
Answer.continuation,,,,,Have you noticed that a lot of men dye their hair?,I actually always thought that men love their hair to be grey. It gives such a dignified and gentle look to men.,,,,
Answer.elaboration,,,,,Have you noticed that a lot of men dye their hair?,Does your dad dye his hair?,,,,
Answer.joking_sarcastic,,,,,Have you noticed that a lot of men dye their hair?,What type of guy decides to dye their hair? I think all men should stay with whatever is the natural color of their hair.,,,,
Answer.continuation,,,,,Have you noticed that a lot of men dye their hair?,"Yeah, and I don't like it.",,,,
Answer.change,,,,,Have you noticed that a lot of men dye their hair?,"Yeah, I think it makes them cute.",,,,
Answer.continuation,,,,,Have you noticed that a lot of men dye their hair?,"Yeah I like the""Just for men"" look.",,,,
Answer.change,,,,,Have you noticed that a lot of men dye their hair?,It's so ridiculous. Men shouldn't dye their hair. They should keep the hair God gave them.,,,,
Answer.elaboration,,,,,Have you noticed that a lot of men dye their hair?,Yeah? What colors are they using?,,,,
Answer.continuation,,,,,Have you noticed that a lot of men dye their hair?,"No, I have better things to do than notice dyed hair.",,,,
Answer.continuation,,,,,Have you noticed that a lot of men dye their hair?,And others shouldn't bother they have so little hair to begin with.,,,,
Answer.joking_sarcastic,,,,,Have you noticed that a lot of men dye their hair?,And? Why is that a big deal?,,,,
Answer.joking_sarcastic,,,,,Have you noticed that a lot of men dye their hair?,Why don't men with grey hair just dye it? It looks so much better.,,,,
Answer.elaboration,,,,,Have you noticed that a lot of men dye their hair?,"I have noticed that, do you think it's becoming a new trend for men to dye their hair?",,,,
Answer.elaboration,,,,,Have you noticed that a lot of men dye their hair?,Men that dye their their hair are like chameleon that change the color of their skin. They like to be adaptive for all situations they come into.,,,,
Answer.change,,,,,Have you noticed that a lot of men dye their hair?,All men definitely dyes their hair. It's not only the people who have white hair. Men also want to experiment with different colors with their hair.,,,,
Answer.joking_sarcastic,,,,,Have you noticed that a lot of men dye their hair?,Why do they do that?,,,,
Answer.change,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,Yes but why are they in your house? The one on the right is scaring me,,,
Answer.joking_sarcastic,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,"Unless he's got a bunch of middle school kids tied up in his basement that are screaming to get out, I don't think he has much to worry about. And even if he does, their screams will be so muffled by the time they get to the listening devices, they probably won't even hear!",,,
Answer.joking_sarcastic,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,"I don't think so, I just don't like being listened to.",,,
Answer.change,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,,,,
Answer.elaboration,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They're like gnats. Boring and harmless.,,,,
Answer.joking_sarcastic,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,"I guess it doesn't matter. Those things don't work half the time anyway, so they probably aren't listening. You know what else never seems to work half the time? Cellphones these days. Seems like every one I get breaks on me. What kind of phone do you use?",,,
Answer.change,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,"Easy there, I'm not that paranoid.",,,
Answer.joking_sarcastic,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Who wouldn't want one of these conversational agents in the home?  They can be of great help to take care of things you don;t want to bother with.,"Any question you have at any moment, all you have to do is say it and you'll get your answer.",,,
Answer.joking_sarcastic,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,There are so many different kinds of those which one do you think is best?,,,
Answer.continuation,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,"I do think it would be annoying , however, to be spoken to by a box all the time.",,,,
Answer.joking_sarcastic,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,Maybe so. It's possible that they'd be alarmed by what I have to say.,,,
Answer.joking_sarcastic,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,I hope not but you never know what they are listening for!,,,
Answer.joking_sarcastic,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,Can they even be afraid?,,,
Answer.joking_sarcastic,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,"Oh yeah, the hyperintelligent machines are afraid of us humans.",,,
Answer.joking_sarcastic,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Who wouldn't want one of these conversational agents in the home?  They can be of great help to take care of things you don;t want to bother with.,But I'd rather have a Roomba to clean for me.,,,
Answer.joking_sarcastic,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,"I do enjoy the new cable system where you can talk to your remote, that's really handy.",,,
Answer.elaboration,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,What is the agent here for. I'd really like to k ow why he is standing in your kitchen,,,,
Answer.continuation,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,I think you're supposed to be able to ask for trivia or weird facts and it will know the answers to anything.,,,
Answer.joking_sarcastic,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Are you saying something they'd be afraid of?,,,,
Answer.change,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,"Oh, and your breaks. Never know when something could go wrong with those. Actually, it's a good idea to get your whole car checked out, and the locks on your doors too.",,,
Answer.joking_sarcastic,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Yeah he looks like Jean Claude can dam. I think it's most annoying having him just look at you.,,,,
Answer.elaboration,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,I think these devices are just a fad.,Plus who knows who will get to hear what is being said in your house! Maybe the government.,,,
Answer.elaboration,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They're like gnats. Boring and harmless.,"Anything you can do on one, you can do on your smart phone.",,,
Answer.elaboration,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They're like gnats. Boring and harmless.,The one in the gray suit looks like he hasn't slept in days,,,
