Dialogueacts_level1,Dialogueacts_level2,Dialogueacts_level3,Dialogueacts_level4,Dialogueacts_level5,slot0,slot1,slot2,slot3,slot4,slot5
Answer.change,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Chatbots can do anything! Soon they'll be just like human beings!,,,,
Answer.elaboration,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Chatbots are like little humans.,,,,
Answer.joking_sarcastic,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,If it's doing all of that is it really just a chat bot?,,,,
Answer.continuation,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,"Of course, because everyone likes talking to a chatbot.",,,,
Answer.change,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,"Yeah, I know everyone uses chatbots.",,,,
Answer.joking_sarcastic,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,What isn't Google doing?,,,,
Answer.joking_sarcastic,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"How could Google Home not catch Alexa, being so ubiquitous?",,,,
Answer.continuation,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"Oh yeah, just like Google Plus caught up with Facebook.",,,,
Answer.change,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Oh yeah. It's gonna knock Amazon Alexa out of the game and become the number-one player in town in no time.,,,,
Answer.elaboration,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"Google's like an octopus; It's reaching out for everything, isn't it?",,,,
Answer.elaboration,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Google is to Amazon as the turtle is the the hare.  Slow and steady.,,,,
Answer.change,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Google Home will obliterate Alexa! Amazon will go out of business.,,,,
Answer.joking_sarcastic,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Is there anything that Google can't do?,,,,
Answer.elaboration,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Are you kidding? Google is like the bully on the playground about to kick the big jocks but!,,,,
Answer.change,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Of course not.  Alexa has an absurd lead.  It's like the titanic racing a 747.,,,,
Answer.continuation,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"Uh yeah, Amazon is so inconsequential, how could Alexa possibly keep up with Google Home?",,,,
Answer.continuation,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"No.  Google, the multi-billion dollar technology company, could not possibly catch up to a bookseller.",,,,
Answer.continuation,,,,,Eyebrows are big right now. How does that kind of thing happen?,"Yeah, because there's so much room to make your eyebrows appear different than everyone else's. It's a strip of hair.",,,,
Answer.change,,,,,Eyebrows are big right now. How does that kind of thing happen?,I have huge eyebrows! They're like half of my face!,,,,
Answer.continuation,,,,,Eyebrows are big right now. How does that kind of thing happen?,How big are they? Maybe you put miracle grow on them.,,,,
Answer.joking_sarcastic,,,,,Eyebrows are big right now. How does that kind of thing happen?,Who couldn't use some good thick brows?,,,,
Answer.joking_sarcastic,,,,,Eyebrows are big right now. How does that kind of thing happen?,Your eye brows are big. How big are they?,,,,
Answer.joking_sarcastic,,,,,Eyebrows are big right now. How does that kind of thing happen?,Who doesn't want to add one more thing to your list of things you do in the morning?,,,,
Answer.elaboration,,,,,Eyebrows are big right now. How does that kind of thing happen?,"Eyebrows are like mustaches, except on your forehead.",,,,
Answer.change,,,,,Eyebrows are big right now. How does that kind of thing happen?,People are looking to style anything they can on their faces in order to stand out.,,,,
Answer.change,,,,,Eyebrows are big right now. How does that kind of thing happen?,It happens because you let them go for years.,,,,
Answer.continuation,,,,,Eyebrows are big right now. How does that kind of thing happen?,"It happens by not shaving, I think.",,,,
Answer.elaboration,,,,,Eyebrows are big right now. How does that kind of thing happen?,Styling your eyebrows is like wearing designer underwear. Nobody is going to notice how good it looks.,,,,
Answer.elaboration,,,,,Eyebrows are big right now. How does that kind of thing happen?,Your eyebrows are like little animals attached to your face.,,,,
Answer.continuation,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,I think you mean 'lady scientist',,,,
Answer.change,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Oh my gosh, women are portrayed in such a sexist and unjust way in movies! I'm going to go and kick some people's doors down in if this doesn't stop!",,,,
Answer.continuation,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Oh yeah, because women are complete klutzes who can't do anything right and can't handle real jobs.",,,,
Answer.elaboration,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Writing is a beast, and sometimes the beast slays you.",,,,
Answer.elaboration,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Yeah, women in the movies are like... well, men.",,,,
Answer.elaboration,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Social progress in Hollywood is a pendulum, for every few steps forward we take one back",,,,
Answer.joking_sarcastic,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Does it really happen that much? I don't notice it at all.,,,,
Answer.joking_sarcastic,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Aren't women usually portrayed that way in everything? It seems like they're all just bimbos.,,,,
Answer.joking_sarcastic,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Why do they keep writing women like that?,,,,
Answer.change,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,Yes! It drives me absolutely nuts how hollywood can't even let a female scientist be competent.,,,,
Answer.continuation,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,"Yeah, someone who can barely function without constantly dropping and breaking things is so cute and relatable.",,,,
Answer.change,,,,,Have you every noticed how women scientists in movies always drop things and are clumsy? What's that about?,They can't hold anything. It's like their hands are coated in grease.,,,,
Answer.joking_sarcastic,,,,,Have you noticed that a lot of men dye their hair?,What type of guy decides to dye their hair? I think all men should stay with whatever is the natural color of their hair.,,,,
Answer.continuation,,,,,Have you noticed that a lot of men dye their hair?,I actually always thought that men love their hair to be grey. It gives such a dignified and gentle look to men.,,,,
Answer.joking_sarcastic,,,,,Have you noticed that a lot of men dye their hair?,Is that a skunk atop your head?,,,,
Answer.change,,,,,Have you noticed that a lot of men dye their hair?,All men definitely dyes their hair. It's not only the people who have white hair. Men also want to experiment with different colors with their hair.,,,,
Answer.elaboration,,,,,Have you noticed that a lot of men dye their hair?,Men that dye their their hair are like chameleon that change the color of their skin. They like to be adaptive for all situations they come into.,,,,
Answer.elaboration,,,,,Have you noticed that a lot of men dye their hair?,Hair dye is like like lying about your age.,,,,
Answer.continuation,,,,,Have you noticed that a lot of men dye their hair?,"Yeah I like the""Just for men"" look.",,,,
Answer.elaboration,,,,,Have you noticed that a lot of men dye their hair?,A man getting his hair dyed is like a ferret getting a bath. Necessary once in a whole.,,,,
Answer.joking_sarcastic,,,,,Have you noticed that a lot of men dye their hair?,And? Why is that a big deal?,,,,
Answer.change,,,,,Have you noticed that a lot of men dye their hair?,It's so ridiculous. Men shouldn't dye their hair. They should keep the hair God gave them.,,,,
Answer.continuation,,,,,Have you noticed that a lot of men dye their hair?,"No, I have better things to do than notice dyed hair.",,,,
Answer.change,,,,,Have you noticed that a lot of men dye their hair?,It is so tacky!,,,,
Answer.continuation,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,I want a conversational agent in my home so the big IT companies can run my life 24 hours a day.  Pretty soon I won't have to think for myself at all which will the great.,"The agent would be useful, probably. But those always lead to some sort of issue. They leak info. They are supposed to help, but hurt.",,,
Answer.continuation,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,I want a conversational agent in my home so the big IT companies can run my life 24 hours a day.  Pretty soon I won't have to think for myself at all which will the great.,"Beep boop, we are already part of the collective.",,,
Answer.continuation,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,What else do you want for Christmas?,,,
Answer.continuation,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,I'd love a talking box! Finally someone who I can relate to.,,,
Answer.continuation,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,What if it started to turn into something like the car in the movie Christine?,,,
Answer.elaboration,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,,,,
Answer.elaboration,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,"I remember when I was a teen, my mom grounded me for every little thing.",,,
Answer.elaboration,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,It's kind of like having your mom hanging out in your room when you're a teenager.`,,,
Answer.continuation,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,It's not just a talking box. It's a listening box!,,,
Answer.continuation,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,I want a conversational agent in my home so the big IT companies can run my life 24 hours a day.  Pretty soon I won't have to think for myself at all which will the great.,"But, we are questioning it. Oh, maybe they want us to think we are questioning so we do not think we need too. Man this is some stuff like that movie inception. By the way, I like the trope that we are always in this false reality. Always makes me think.",,,
Answer.continuation,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,I want a conversational agent in my home so the big IT companies can run my life 24 hours a day.  Pretty soon I won't have to think for myself at all which will the great.,"Maybe they will take over like Skynet, or the Matrix. What if... now just think...what if they already have? Ahhh! Maybe they are making us have this conversation so we do not question it.",,,
Answer.continuation,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,I want a conversational agent in my home so the big IT companies can run my life 24 hours a day.  Pretty soon I won't have to think for myself at all which will the great.,Or maybe you just want to say thanks for the federal deficit and IRS.,,,
Answer.continuation,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,I want a conversational agent in my home so the big IT companies can run my life 24 hours a day.  Pretty soon I won't have to think for myself at all which will the great.,"Hm, what other technological advances are there?",,,
Answer.elaboration,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,Big Brother's gonna be bored watching me then. I don't have anything interesting going on.,,,
Answer.elaboration,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,I wouldn't go that far... But I am a little worried about them.,,,
Answer.elaboration,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,It can be very disconcerting and disrupting to your routine.,,,
Answer.elaboration,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,"Imagine being watched while you eat, watch tv, or get romantic with your partner.",,,
Answer.elaboration,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,"But if I spent all my time thinking about all the dishonest things the government big corporations do I'd make myself depressed. Shoot, I'm already kind of feeling blue right now. What do you do when you feel down?",,,
Answer.elaboration,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,"That's paranoid. They aren't doing that, are they?",,,
Answer.elaboration,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,"I think your friend is right, I'd be concerned too. I read once that the NSA and other organizations like the CIA forced to companies to put in backdoors so they can access the listening devices easier. Then the devices always listen, and look for keywords like ""bomb"", and then they add you to a list, along with everyone you know, and everyone they know, up to ten people away in that chain. It's crazy, but you're both right to be concerned.",,,
Answer.elaboration,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,"I know that makes me sound paranoid, but you don't know when those things are off or on. They could say one thing and be doing another. There's no way of knowing for sure.",,,
Answer.elaboration,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Having a conversational agent in the home is like having one of those Big Brother monitors in your home from the novel 1984.  They are watching every move.,"This is just the start, too. Next they'll probably put probes in our toilets that go up our butts when we sit down, and monitor everything we've been eating. At first we won't like it, but then we'll get used to it, maybe it'll even feel good. But little by little they'll force the probes higher and higher each time, until they eventually reach the brain and take us over completely. Government Butt Zombies. Look it up. It's for really real for real. Really.",,,
Answer.continuation,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,"Well, think of how much the government spies on your already.",,,
Answer.elaboration,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They're like gnats. Boring and harmless.,I mean it's kinda creepy. Do they even talk to you,,,
Answer.continuation,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,It's a novel idea that might have a lot of unexpected uses.,,,
Answer.change,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,"So be careful out there. You wouldn't want to get hurt. If you did, you'd have to go to the hospital, and it seems like insurance costs are rising sky high lately.",,,
Answer.change,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,"I mean, the world is a dangerous place, you never know who's out to get you, or how they'll do it. It never hurts to be cautious. It never hurts to be prepared even if 99% of the time everything is just fine. Gotta stay safe, man.",,,
Answer.change,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,Chemtrails! My teeth are picking up radio signals! The president's a puppet! Not a metaphor; He's a literal wooden Marionett brought to life! Illuminati confirmed!,,,
Answer.change,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,"Break open your condoms to make sure there are no microchips in there. Those things will collect your sperm and upload them to the internet to create a race of anatomically correct super digital clone men! I mean, they won't do much, 'cause they'll be stuck online, but it'll be weird.",,,
Answer.change,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,"Heh, I know it's overblown, but I am still worried. You can never be too careful.",,,
Answer.change,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,There won't be any privacy for anyone.,,,
Answer.change,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,I think dogs are better pets anyway.,,,
Answer.change,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,Everyone's really out to get you in this modern age.,,,
Answer.change,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,You're probably being spied on by your cat too.,,,
Answer.change,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,"Easy there, I'm not that paranoid.",,,
Answer.change,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,,,,
Answer.change,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,"I should check the mailbox, actually! Maybe I have mail.",,,
Answer.continuation,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,"They're definitely listening in on you talking to yourself at all times, ya.","Oh no, I don't want them listening to me!",,,
Answer.change,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They definitely are. Your food is fussy too. Poison in the walls. Check the mailbox.,"Oh, and your breaks. Never know when something could go wrong with those. Actually, it's a good idea to get your whole car checked out, and the locks on your doors too.",,,
Answer.change,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,Yes but why are they in your house? The one on the right is scaring me,,,
Answer.change,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,Do you know what your making for dinner tonight,,,
Answer.change,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,"The IT companies want to gather information about everything about us. What we like, what we dislike, how many friends we have, and so on. Then they can sell that information to other companies and advertisers. Everyone will have to rely on them to get what they need. After all, information is power, and he who controls information is a powerful man indeed.",,,
Answer.change,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,"I wouldn't say that, but they probably do release sensitive data. I don't like them.",,,
Answer.change,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,Why would there be a plot by the big it companies.,,,
Answer.change,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,"That's probably a bit paranoid, don't you think?",,,
Answer.change,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,"Think about it! They'll know all the times know all the kinds of porn we like, and when we like to watch it! They'll bombard us with popups and trick us into watching it constantly; getting us hooked on new perversions! Then no one will ever go outside, so no one will be able to stop them! It's the perfect plan, isn't it? As long as they their systems don't hook them, too.",,,
Answer.change,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,I guess it's kinda like how your ISP gives info to advertisers.,,,
Answer.change,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,I would love for themto come to my house. They could clean m yard etc,,,
Answer.change,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,"Oh yeah, knowing what kind of chips I eat gives them so much power.",,,
Answer.change,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,,,,
Answer.change,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,"But you know, IT companies aren't the only groups that want to try and control everything. The government isn't that much better, what with the NSA spying and all that. It's hard to know who we can trust now days. I mostly just trust family and friends.",,,
Answer.change,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,These conversational agents have their ears open all day long and know everything.  They are a plot by the big IT companies to know everything and everyone so they can grab power.,"Soon they'll have more powerful than the government, that is, unless of course the government had them install backdoors into everything and they're listening in, too.",,,
Answer.continuation,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,"They're definitely listening in on you talking to yourself at all times, ya.","Maybe in the future, conversational agents won't do that.",,,
Answer.continuation,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,"They're definitely listening in on you talking to yourself at all times, ya.","Anyone that talks to themselves as a regular habit is definitely dealing with some issues. At least, that's what I was saying to myself last night while I was eating dinner alone.",,,
Answer.continuation,Answer.continuation,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,"They're definitely listening in on you talking to yourself at all times, ya.",Do you honestly think they are listening to me talking to myself?,,,
Answer.continuation,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,I don't think I'd like the idea of someone spying on me from afar.,,,
Answer.continuation,,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,,,,
Answer.continuation,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,That's an oversimplification. It can also respond to commands and answer questions.,,,
Answer.continuation,Answer.change,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,"I think I'd rather get a new smart phone though, mine is getting old.",,,
Answer.continuation,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,Like that's what I want for Christmas a talking box.,You might find it's more useful than a silent hollow box.,,,
Answer.elaboration,Answer.joking_sarcastic,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They're like gnats. Boring and harmless.,The one in the gray suit looks like he hasn't slept in days,,,
Answer.elaboration,Answer.elaboration,,,,I am not sure about having one of these conversational agents in my house. My friends seem to think they might be listening all the time.,They're like gnats. Boring and harmless.,Gnats aren't totally harmless. They carry disease.,,,
